-1 |time hours_from_midnight:12 |meta link hashtags:1 |tokens thank #imwithy
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens case gonzalo trump univers judg judgement easili bias curiel total summari
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens case diego gonzalo trump civil univers judg unfair bias curiel pick total obama hate san
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens day great everyon hope memori
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens hillari oppon would record million one crook broke vote instead sixteen primari
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens great memori make soon rememb america day
1 |time hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:11 |meta link single_quote double_quote double_quote_at hashtags:1 |tokens mia true rememb
1 |time hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:0 |tokens great day dc
1 |time hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:1 |tokens " better taken veterans" illeg care
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens endors candid patrol ever agent 16500 presidenti time nice border first
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens endors made patrol thank get wall agent 16500 necessari statement border
1 |time hours_from_midnight:10 |meta single_quote hashtags:0 |tokens wont fenc secur wall southern wrong enhanc say much build want wh border yet bigger obama
-1 |time hours_from_midnight:1 |meta hashtags:0 |tokens spoiler kristol actual suprem get independ bill dummi say good court run bye
1 |time hours_from_midnight:2 |meta single_quote hashtags:0 |tokens spoiler candid strong allow parti lightweight novemb cant set want win republican indi smart
-1 |time hours_from_midnight:2 |meta single_quote hashtags:0 |tokens control kristol tough rs parti bill cant loser wrong embarrass 2yr gop
-1 |time hours_from_midnight:3 |meta hashtags:0 |tokens good campaign behind 100% cash histori perhap stand news everyth b/c polit
1 |time hours_from_midnight:8 |meta hashtags:0 |tokens head love thunder dc spirit see hear peopl great countri roll amaz
-1 |time hours_from_midnight:3 |meta single_quote hashtags:1 |tokens american lost harbor thousand live sneak #mdw pearl attack presid japan he ever discuss obama
-1 |time hours_from_midnight:3 |meta single_quote hashtags:0 |tokens dont campaign quot media work matter bias believ peopl phoni
-1 |time hours_from_midnight:4 |meta single_quote hashtags:0 |tokens @ nomin dishonest back gop alway paper im front fail page
-1 |time hours_from_midnight:4 |meta hashtags:0 |tokens prez style less media get phoni better much result money need new spend manag kick
-1 |time hours_from_midnight:4 |meta single_quote hashtags:0 |tokens @ style dont beat peopl im hillari stori 73 fail mani 800 manag wrote
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens would get defend us enough countri 69 nice border treati
-1 |time hours_from_midnight:6 |meta link hashtags:1 |tokens great thank crowd fresno ralli california #trump2016
-1 |time hours_from_midnight:4 |meta link single_quote hashtags:0 |tokens account administr media screen social fail syrian refuge obama
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens tri @ greatli attend handl disrupt well job ralli thug fantast peac appreci
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens appreci @ kind love thank music msg mani gave shoutout friend told
-1 |time hours_from_midnight:1 |meta link hashtags:1 |tokens diego 25000 thank wow california #trump2016 san
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens enjoy @ big tonight 800 special pm
-1 |time hours_from_midnight:7 |meta single_quote hashtags:1 |tokens @ major good bill watch oreilli 8pme tonight #trump2016 special
-1 |time hours_from_midnight:10 |meta link hashtags:2 |tokens #makeamericagreatagain plan energi america #trump2016 first
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens @ major hold run show far onto keep florida seat marco import poll data best senat
-1 |time hours_from_midnight:2 |meta hashtags:2 |tokens enjoy @ featur #meetthetrump wife 7pme #trump2016 children
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens celebr #trump2016 1237
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens #trump2016 thank
-1 |time hours_from_midnight:3 |meta hashtags:0 |tokens goofi elizabeth get pretend sometim offens nativ american harvard refer find pocahonta warren
-1 |time hours_from_midnight:6 |meta hashtags:1 |tokens even @ magic thank forgotten night mr last #trump2016 wonder
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens hillari clinton allow gener wh judgement crook bad cannot disast tempera report inspector
-1 |time hours_from_midnight:1 |meta link hashtags:1 |tokens #trump2016 anaheim california thank
-1 |time hours_from_midnight:6 |meta hashtags:0 |tokens great primari thank record washington gop broken say time vote histori honor behalf movement
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens mexican outsid insid mexico ralli flag fli protest beauti big thug new crimin
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens knock hillari good clinton deal berni 16 crook cant candid doesnt close smart
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens @ goofi elizabeth less practic us done action senat talk warren
1 |time hours_from_midnight:5 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:5 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:5 |meta double_quote double_quote_at hashtags:0 |tokens
-1 |time hours_from_midnight:2 |meta link hashtags:1 |tokens america #trump2016 thank
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens lookout terrorist lead tire normal peopl abl live american sick terror constantli
-1 |time hours_from_midnight:5 |meta link hashtags:2 |tokens join center convent may wednesday anaheim #maga ticket 25th #trump2016
-1 |time hours_from_midnight:5 |meta hashtags:0 |tokens hillari want get allow protect increas crook cant smart 500% time radic america syrian refuge
-1 |time hours_from_midnight:5 |meta hashtags:0 |tokens hillari silent crook say islam radic horribl care oppress women
-1 |time hours_from_midnight:10 |meta hashtags:0 |tokens @ everi network continu wrong 2 call dopey put shot yr singl panel
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens four hillari clinton would year qualifi proven judgement bad stupid presid
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens classroom hillari said school gun brought crook wrong want
-1 |time hours_from_midnight:4 |meta link hashtags:1 |tokens serv hero thank men #armedforcesday countri true women
-1 |time hours_from_midnight:7 |meta hashtags:0 |tokens hillari clinton libya danger foreign crook isi unleash syria intervent iraq reckless
-1 |time hours_from_midnight:7 |meta link hashtags:0 |tokens make america great
1 |time hours_from_midnight:8 |meta hashtags:0 |tokens even @ trump get neg closer two loser turn zero wors anti team rebutt
1 |time hours_from_midnight:11 |meta single_quote double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens hillari get bodyguard protect gun surround arm crook want fulli rid yet
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens play total golf like fall tsa airport disast presid govern apart day wonder
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens tremend hillari ad person wall money dishonest crook amount street fals spend
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens hillari clinton amend gun vote abolish crook want owner essenti 2nd ever
1 |time hours_from_midnight:0 |meta double_quote hashtags:0 |tokens @ par thank could 9th dramat 3 britain" statement new hole "the turnberri wonder
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens @ great made trump easi major win proud play colin turnberri look
1 |time hours_from_midnight:1 |meta link single_quote double_quote double_quote_at hashtags:0 |tokens
-1 |time hours_from_midnight:2 |meta hashtags:1 |tokens endors great thank deal @ disappoint wonder #trump2016 today mean
-1 |time hours_from_midnight:3 |meta link hashtags:2 |tokens @ great kentucki cox #makeamericagreatagain lapierr #trump2016 day chri wayn
-1 |time hours_from_midnight:4 |meta link hashtags:2 |tokens endors thank @ #trump2016 prior candid #2a ever honor first
-1 |time hours_from_midnight:8 |meta hashtags:0 |tokens @ good everi make bad articl alway stori bias take fail sad unfair
-1 |time hours_from_midnight:8 |meta double_quote hashtags:0 |tokens @ "trump thank entertainingmass extraordinari seen" candid popular countri ever unpredict
-1 |time hours_from_midnight:9 |meta link hashtags:2 |tokens #secondamend @ hillari clinton cc privat event crook #2a discuss
-1 |time hours_from_midnight:9 |meta link hashtags:0 |tokens see soon way
1 |time hours_from_midnight:10 |meta single_quote hashtags:0 |tokens even hillari deal berni favor year four crook cant dem way rig close
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens hillari still run look mess fix fast isi chanc wild world total today around
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens even imagin hillari love would less year isi stamina crook zero china 4 presid russia
1 |time hours_from_midnight:9 |meta double_quote hashtags:0 |tokens hillari said clinton qualified" berni "veri crook bad judgement" "not presid thing
-1 |time hours_from_midnight:5 |meta link hashtags:0 |tokens respond @ strength thank terror 2017
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens great terrorist depart look get anoth pari attack sick vigil tough airplan hate yet smart like
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens reciev week court ad suprem justic well list number us next may potenti
1 |time hours_from_midnight:1 |meta double_quote hashtags:0 |tokens ago claim life like @ joke never "made 29 stori low year happen becom pass" journalist
-1 |time hours_from_midnight:1 |meta link hashtags:2 |tokens #trump2016 #makeamericagreatagain
-1 |time hours_from_midnight:7 |meta link hashtags:1 |tokens #trump2016 louisiana thank
-1 |time hours_from_midnight:7 |meta link hashtags:1 |tokens see arizona #makeamericagreatagain thank soon
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens begala @ head fraud clinton ad flunki pro knowingli hillari pac dopey commit paul super first
1 |time hours_from_midnight:4 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:3 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens even great thank anticip oregon state percentag vote higher congratul movement
-1 |time hours_from_midnight:3 |meta link hashtags:2 |tokens #makeamericagreatagain #trump2016 thank oregon
1 |time hours_from_midnight:2 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:2 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:1 |meta single_quote hashtags:0 |tokens @ jeffrey trump would watch seven 7 1 cnn cant savag dont believ allow hater lord panel nice
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:1 |meta double_quote hashtags:0 |tokens megyn oregon well see us tonight live done movement" happili let "the ever
1 |time hours_from_midnight:0 |meta hashtags:0 |tokens go question back final
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta hashtags:0 |tokens dougla michael like
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens also
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:0 |meta single_quote double_quote double_quote_at hashtags:0 |tokens true
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens thank
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens great
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens tri said would come endlessli back re say call year compani barbara
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens woman name ny top unheard thank construct re job much nice barbara nasti gave
1 |time hours_from_midnight:1 |meta double_quote hashtags:0 |tokens "in life us histori reason ignor presid worst obama virtue" primari polit
-1 |time hours_from_midnight:3 |meta link hashtags:0 |tokens @ woman join brewer promin yesterday stori depict fail rowann
1 |time hours_from_midnight:11 |meta double_quote hashtags:0 |tokens comment @ said "trump longer show weak watch repub record set time primaries" polit
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens sander run badli independ system berni dem rig treat
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens great thank #makeamericagreatagain new poll #trump2016
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens @ marco consider rubio vp mention wrong candid potenti report other
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens see georgia #trump2016 thank soon
1 |time hours_from_midnight:5 |meta hashtags:0 |tokens plenti fals media hunt realli witch report prevail
1 |time hours_from_midnight:5 |meta hashtags:0 |tokens @ use name career proud dishonest given refus fail help
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens real @ clinton media dishonest write stori doesnt fail total women
1 |time hours_from_midnight:11 |meta double_quote double_quote_at hashtags:1 |tokens thank
1 |time hours_from_midnight:11 |meta double_quote double_quote_at hashtags:0 |tokens thank
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens @ use hit name lame help piec refus women laugh mani womeni everyon gave
1 |time hours_from_midnight:11 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:11 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens @ hit anoth impress piec noth treat joke fail found women yet wrote nice
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens @ word thank logic well morn deliv total nice
1 |time hours_from_midnight:2 |meta link double_quote double_quote_at hashtags:0 |tokens
-1 |time hours_from_midnight:9 |meta link hashtags:0 |tokens new great poll thank
1 |time hours_from_midnight:1 |meta single_quote hashtags:0 |tokens hillari clinton deal berni crazi isi crook cant other china take go close russia
-1 |time hours_from_midnight:5 |meta link hashtags:1 |tokens @ great mitch dc mcconnel meet republican #trump2016 leader
-1 |time hours_from_midnight:6 |meta link hashtags:1 |tokens @ great work well dc realli thing leadership republican #trump2016 day
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens audit @ return would routin tax releas interview elect complet told
-1 |time hours_from_midnight:7 |meta link hashtags:2 |tokens #trump2016 #makeamericagreatagain
1 |time hours_from_midnight:10 |meta single_quote hashtags:0 |tokens sander hillari hit dont crook hard watch berni crazi want time love come yet
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens berni hillari look get readi big lose virginia crazi crook novemb bad nebraska west win
-1 |time hours_from_midnight:1 |meta link hashtags:2 |tokens #trump2016 nebraska #makeamericagreatagain thank
-1 |time hours_from_midnight:0 |meta link hashtags:2 |tokens west #trump2016 #makeamericagreatagain thank virginia
-1 |time hours_from_midnight:9 |meta link hashtags:3 |tokens west #makeamericagreatagain virginia #votetrump #trump2016 today
-1 |time hours_from_midnight:9 |meta link hashtags:3 |tokens #trump2016 nebraska #makeamericagreatagain #votetrump today
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens posit peopl never vp press take ask tell
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens @ hillari ate rosi odonnel commerci crook viciou cake
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens hillari exactli fals media tax keep crook rais narr want opposit push strong
1 |time hours_from_midnight:11 |meta hashtags:1 |tokens @ #repmikekelli word thank great job morn nice
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens great get make nebraska vote america
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens great get west make virginia vote america
1 |time hours_from_midnight:2 |meta link double_quote double_quote_at hashtags:3 |tokens
-1 |time hours_from_midnight:0 |meta hashtags:0 |tokens hillari clinton border support million democrat crook want run open complet
-1 |time hours_from_midnight:0 |meta hashtags:0 |tokens sarah legaci met behind nebraska kill immigr famili illeg horribl amaz root courag leav
-1 |time hours_from_midnight:1 |meta hashtags:0 |tokens lie hillari goofi clinton elizabeth career flunki nativ american base total warren
-1 |time hours_from_midnight:1 |meta hashtags:0 |tokens properli elizabeth nativ american record see goofi let she fraud check say warren
-1 |time hours_from_midnight:1 |meta hashtags:0 |tokens hillari goofi clinton elizabeth defeat mate choos corrupt run hope warren
-1 |time hours_from_midnight:3 |meta link hashtags:0 |tokens @ respons
-1 |time hours_from_midnight:6 |meta hashtags:0 |tokens @ hillari run third parti hard crook candid hear fade guarante push rapidli win
-1 |time hours_from_midnight:6 |meta single_quote hashtags:0 |tokens endors insight crash power work initi jeb bush much joe kasich scarborough john didnt
1 |time hours_from_midnight:12 |meta single_quote hashtags:0 |tokens play sander hillari bad berni say sad judgement crook zero leadership abil constantli card women
1 |time hours_from_midnight:12 |meta single_quote hashtags:0 |tokens said parti someth million inherit wrong voter ryan paul republican didnt special
1 |time hours_from_midnight:11 |meta double_quote double_quote_at hashtags:2 |tokens
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens endors great make first except ryan yesterday put mani paul america must
1 |time hours_from_midnight:10 |meta single_quote double_quote hashtags:0 |tokens "donald said talent trump ive peopl governor one seen" perri rick presid run ever thank
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens wage hillari clinton bring job miner back crook unlik want go destroy america
-1 |time hours_from_midnight:3 |meta single_quote hashtags:1 |tokens thank big west tuesday virginia keep vote let win go #trump2016
-1 |time hours_from_midnight:1 |meta double_quote hashtags:0 |tokens business" hillari said minersco coal put apolog crook believ lot go compani whole "we
-1 |time hours_from_midnight:1 |meta link hashtags:2 |tokens join omaha #makeamericagreatagain oregon eugen nebraska #trump2016 tomorrow
-1 |time hours_from_midnight:6 |meta link hashtags:1 |tokens grill made love trump bowl happi taco #cincodemayo hispan tower best
-1 |time hours_from_midnight:8 |meta link hashtags:0 |tokens charleston join tomorrow wv
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens interview @ enjoy 730
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens @ good 700 morn interview america
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens interview @ enjoy 615
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens sander hillari run would berni rather crook book cook clinton happen
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens even sander great beat hillari dysfunct system crook interest rig total
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens pleas @ correct virginia
-1 |time hours_from_midnight:1 |meta link hashtags:2 |tokens #makeamericagreatagain indiana #trump2016 thank
1 |time hours_from_midnight:1 |meta single_quote hashtags:0 |tokens stop said money consist win drop ted wast lyin cruz doesnt race time indiana must
1 |time hours_from_midnight:1 |meta single_quote hashtags:0 |tokens sort function made presidenti wow ted crazi cant realli lyin cruz pressur charg wacko went sad today
-1 |time hours_from_midnight:6 |meta link hashtags:2 |tokens make america great #inprimari #votetrump
-1 |time hours_from_midnight:8 |meta link hashtags:3 |tokens #votetrump 6pm close poll #trump2016 #inprimari
-1 |time hours_from_midnight:9 |meta link hashtags:1 |tokens america #trump2016 thank
-1 |time hours_from_midnight:10 |meta link hashtags:2 |tokens make america great #inprimari #votetrump
-1 |time hours_from_midnight:11 |meta link hashtags:2 |tokens make america great #inprimari #votetrump
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens short ralli soon see bend big indiana south
-1 |time hours_from_midnight:3 |meta hashtags:1 |tokens enjoy @ tonight 10pme interview #inprimari
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens america #makeamericagreatagain thank
-1 |time hours_from_midnight:3 |meta link hashtags:3 |tokens thank get #makeamericagreatagain #votetrump #inprimari indiana tomorrow carmel
-1 |time hours_from_midnight:5 |meta link hashtags:2 |tokens endors great receiv holtz lou guy #trump2016 honor #inprimari
-1 |time hours_from_midnight:8 |meta link hashtags:2 |tokens hillari clinton #trump2016 #makeamericagreatagain crook defeat 11/8/2016
-1 |time hours_from_midnight:10 |meta hashtags:0 |tokens great look campaign knight support thing bobbi fun indiana day today amaz
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens voter mexican burn flag wave everybodi protest want american america proudli talk first
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens mike strong trump usa bring job donald back hoosier state penc taken stanc gov thank
1 |time hours_from_midnight:11 |meta double_quote hashtags:0 |tokens hillari said clinton "deal men use poorli crook done reservation" actual get
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens interview @ enjoy 730
-1 |time hours_from_midnight:1 |meta link hashtags:1 |tokens join 4pm carmel indiana tomorrow #inprimari
-1 |time hours_from_midnight:3 |meta link hashtags:2 |tokens thank wayn indiana #trump2016 #inprimari fort
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens indiana haut #makeamericagreatagain thank terr
-1 |time hours_from_midnight:4 |meta single_quote hashtags:0 |tokens even @ hillari good anyth beat never bushi air jeb say shouldnt fail
-1 |time hours_from_midnight:8 |meta link hashtags:1 |tokens #fn @ wallac enjoy day chri year throughout anniversari 20th
-1 |time hours_from_midnight:8 |meta hashtags:0 |tokens short ralli haut soon see big indiana terr
-1 |time hours_from_midnight:11 |meta link hashtags:1 |tokens indiana #trump2016 thank
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens great monday ralli make see four sunday indiana america
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens comment @ great thank job today nice
-1 |time hours_from_midnight:4 |meta link hashtags:2 |tokens deleg #maga trump lock #trump2016 gop delawar
1 |time hours_from_midnight:7 |meta hashtags:0 |tokens job great nobodi get almost make zero america economi beat bad wors growth quarter
1 |time hours_from_midnight:9 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:11 |meta double_quote hashtags:0 |tokens "protesters" profession strongli enforc california dealt thug mani crimin law
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens @ woman incred alway anderson mother amaz
1 |time hours_from_midnight:6 |meta hashtags:0 |tokens deleg win wast system time effort rig ballot 1001 first
-1 |time hours_from_midnight:8 |meta link hashtags:1 |tokens indiana #trump2016 thank
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens also hillari clinton enabl person time dishonest great one crook perhap presid run ever
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens made ridicul deal blown wow 42 lyint dead arriv 1 cruz dumb kasich john
-1 |time hours_from_midnight:5 |meta link hashtags:1 |tokens america #trump2016 thank
-1 |time hours_from_midnight:6 |meta link hashtags:2 |tokens #makeamericagreatagain maryland #votetrump let
-1 |time hours_from_midnight:6 |meta link hashtags:1 |tokens #votetrump delawar 8pm
-1 |time hours_from_midnight:6 |meta link hashtags:1 |tokens great thank island yesterday rhode #votetrump day
-1 |time hours_from_midnight:6 |meta link hashtags:1 |tokens connecticut six #votetrump hour left
-1 |time hours_from_midnight:6 |meta link hashtags:1 |tokens go pennsylvania #votetrump let
-1 |time hours_from_midnight:8 |meta link hashtags:0 |tokens thank barron incred vanessa support jare eric lara melania ivanka tiffani
-1 |time hours_from_midnight:11 |meta link hashtags:1 |tokens @ #trump2016 thank
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens pact great deal almost joke fall dead strain cruz dumb kasich honor apart
-1 |time hours_from_midnight:1 |meta link hashtags:2 |tokens barr thank pennsylvania #makeamericagreatagain wilk #trump2016
-1 |time hours_from_midnight:2 |meta link hashtags:1 |tokens area pennsylvania vibrant #makeamericagreatagain sad manufactur pass
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens thank pennsylvania west #votetrump chester #paprimari
-1 |time hours_from_midnight:3 |meta link hashtags:2 |tokens thank island rhode #votetrump warwick #riprimari
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens 1 38 show beat weak team ted two one lyin cruz unabl kasich collus
1 |time hours_from_midnight:3 |meta single_quote hashtags:0 |tokens desper group sad ted dead happi lyin mathemat interest kasich donor total special
1 |time hours_from_midnight:3 |meta single_quote hashtags:0 |tokens republican nomin collud wow get ted keep lyin desper kasich go announc order
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens @ irrelev readership happi badli paper hear way fail serious becom
1 |time hours_from_midnight:10 |meta double_quote double_quote_at hashtags:0 |tokens deleg bribery"
1 |time hours_from_midnight:10 |meta link double_quote double_quote_at hashtags:2 |tokens
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens major good look ralli tuesday thing afternoon maryland
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens @ great job advic thank
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens @ great prove commentari tonight correct smart
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens hillari poll hit ad neg rock drop soon crook kasich clinton john win like
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens great look campaign big tuesday connecticut vote day
1 |time hours_from_midnight:0 |meta hashtags:0 |tokens @ great job report rate today increas congratul amaz
-1 |time hours_from_midnight:4 |meta link hashtags:0 |tokens lynn great thank read proud ryan ny stori time
-1 |time hours_from_midnight:5 |meta link hashtags:3 |tokens #makeamericagreatagain #trumptrain #trump2016 thank delawar
-1 |time hours_from_midnight:5 |meta link hashtags:2 |tokens bridgeport #trump2016 connecticut #makeamericagreatagain thank
-1 |time hours_from_midnight:8 |meta link hashtags:2 |tokens #trump2016 #makeamericagreatagain connecticut waterburi thank
-1 |time hours_from_midnight:10 |meta link hashtags:1 |tokens video #makeamericagreatagain
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens stolen campaign job anoth stop state fast day connecticut countri spend
-1 |time hours_from_midnight:1 |meta link hashtags:1 |tokens pennsylvania #trump2016 thank
-1 |time hours_from_midnight:0 |meta link hashtags:1 |tokens great thank #trump2016 wednesday back see indiana soon everyon
-1 |time hours_from_midnight:1 |meta link hashtags:2 |tokens thank #makeamericagreatagain soon see california #trump2016
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens #makeamericagreatagain @ #trump2016 thank
-1 |time hours_from_midnight:7 |meta link hashtags:2 |tokens thank incred support #makeamericagreatagain maryland #trump2016 movement
-1 |time hours_from_midnight:9 |meta hashtags:0 |tokens talent greatli numer princ met occas guy wonder miss amaz
-1 |time hours_from_midnight:2 |meta single_quote hashtags:0 |tokens said get drop ted cant lyin cruz 1237 leav kasich couldnt
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens elimin race said get ted reason cruz mathemat kasich senat think
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens town @ major melania wife rest enjoy7am famili fun hall hope
-1 |time hours_from_midnight:2 |meta link hashtags:1 |tokens great thank conclud back soon way maryland #trump2016 day
-1 |time hours_from_midnight:1 |meta link hashtags:0 |tokens excit @ terrif campaign state indiana meet wonder
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens thank #makeamericagreatagain soon back indiana #trump2016
-1 |time hours_from_midnight:9 |meta link hashtags:1 |tokens indiana #trump2016
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens spoiler hillari race beat win never ted thing cruz mathemat nice
1 |time hours_from_midnight:3 |meta link double_quote double_quote_at hashtags:0 |tokens wow nice realli
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens new never forget thank york
1 |time hours_from_midnight:0 |meta hashtags:0 |tokens @ said amaz terribl neg bill watch thing angri hater imposs panel
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:3 |tokens
1 |time hours_from_midnight:1 |meta link double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens new state york now" mind"
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens control @ 900 boss interview rig republican primari talk
1 |time hours_from_midnight:11 |meta double_quote double_quote_at hashtags:0 |tokens fantast
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens great
1 |time hours_from_midnight:1 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens thank
-1 |time hours_from_midnight:0 |meta link hashtags:2 |tokens syracus join #nyprimari 4/16 watertown #trump2016 3pm weekend noon
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens @ #trump2016 thank
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens america #trump2016 thank
